Turbo Boost disabled for all CPUs
2
../quartz/scripts/../build/src/lib/libnvmemul.so
../quartz/scripts/../nvmemul.ini

===== B-Tree App Output =====

NOT FOUND 879854226107424288, t = (nil)
NOT FOUND 6807287338050216246, t = (nil)
NOT FOUND 4303501492612903365, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 8560462843914171705, t = (nil)
NOT FOUND 5842111424952401782, t = (nil)
NOT FOUND 4012622499436095301, t = (nil)
NOT FOUND 6289714627922095758, t = (nil)
NOT FOUND 461853651150229263, t = (nil)
NOT FOUND 3558799528716545937, t = (nil)
NOT FOUND 6578898281627599563, t = (nil)
NOT FOUND 1856047914335947002, t = (nil)
NOT FOUND 8268339769850383036, t = (nil)
NOT FOUND 3923983822042384583, t = (nil)
NOT FOUND 8589248869471034556, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 6123162740993766281, t = (nil)
NOT FOUND 4532789020709827263, t = (nil)
NOT FOUND 6289756600854356945, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 254326308596247748, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 240736421479731729, t = (nil)
NOT FOUND 1221687366205260828, t = (nil)
NOT FOUND 4772517801577009438, t = (nil)
NOT FOUND 6885772168443341285, t = (nil)
NOT FOUND 2769508289158513766, t = (nil)
NOT FOUND 2878321028696079598, t = (nil)
NOT FOUND 8701104799761475497, t = (nil)
NOT FOUND 4353122172192664136, t = (nil)
NOT FOUND 8812409211155281830, t = (nil)
NOT FOUND 3717577041130060784, t = (nil)
NOT FOUND 104701673097513613, t = (nil)
NOT FOUND 5523122014744768654, t = (nil)
NOT FOUND 6630085633967746906, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 9010378108642380144, t = (nil)
NOT FOUND 9126774915463415071, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 3735695851863760486, t = (nil)
NOT FOUND 4251356951811677989, t = (nil)
NOT FOUND 7320057726626774071, t = (nil)
NOT FOUND 132200751960540875, t = (nil)
NOT FOUND 5330776635831358732, t = (nil)
NOT FOUND 4026727631363453669, t = (nil)
NOT FOUND 2424019576661496304, t = (nil)
NOT FOUND 5825153649015226813, t = (nil)
NOT FOUND 7916703470966725292, t = (nil)
NOT FOUND 8852075592997341250, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 7709747438970982768, t = (nil)
NOT FOUND 5825658524071793913, t = (nil)
NOT FOUND 6691530068880047845, t = (nil)
NOT FOUND 1675934262719371044, t = (nil)
NOT FOUND 5199795521637654617, t = (nil)
NOT FOUND 7626362159785816876, t = (nil)
NOT FOUND 7384419264207653275, t = (nil)
NOT FOUND 4294684056473309817, t = (nil)
NOT FOUND 1402204078428777050, t = (nil)
NOT FOUND 8036493893772359213, t = (nil)
NOT FOUND 902939010322706185, t = (nil)
NOT FOUND 8755562670961825132, t = (nil)
NOT FOUND 6715363775210413993, t = (nil)
NOT FOUND 3007998007212841984, t = (nil)
NOT FOUND 3992048138118954329, t = (nil)
NOT FOUND 5251574691811748129, t = (nil)
NOT FOUND 3473028212877431610, t = (nil)
NOT FOUND 1126241970342844737, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 4299662004024786427, t = (nil)
NOT FOUND 7798921363878022160, t = (nil)
NOT FOUND 5617555631701752501, t = (nil)
NOT FOUND 8484602759714886243, t = (nil)
NOT FOUND 7139687410817137332, t = (nil)
NOT FOUND 4545796596166387836, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 7442320458792007331, t = (nil)
NOT FOUND 2482223843215513064, t = (nil)
NOT FOUND 4572115209434129585, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 6879905792118287221, t = (nil)
NOT FOUND 4770830161687221906, t = (nil)
NOT FOUND 1146851936011296448, t = (nil)
NOT FOUND 9033549560382289250, t = (nil)
NOT FOUND 7880931703452792696, t = (nil)
NOT FOUND 5011011884446845060, t = (nil)
NOT FOUND 7759026349009366930, t = (nil)
NOT FOUND 7518356289990583794, t = (nil)
NOT FOUND 2523998469967660310, t = (nil)
NOT FOUND 6748363561977687472, t = (nil)
NOT FOUND 4006238681018565452, t = (nil)
NOT FOUND 3570359187607831184, t = (nil)
NOT FOUND 1835048652447839323, t = (nil)
NOT FOUND 2007490452828618437, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 5646034464462457301, t = (nil)
NOT FOUND 4084270383717116512, t = (nil)
NOT FOUND 2536298311400506078, t = (nil)
NOT FOUND 151187346253921336, t = (nil)
NOT FOUND 1827317141251698096, t = (nil)
NOT FOUND 678452675392929275, t = (nil)
NOT FOUND 6196533271452306197, t = (nil)
NOT FOUND 547476573421092586, t = (nil)
NOT FOUND 1946706151067071355, t = (nil)
NOT FOUND 6468599817363165571, t = (nil)
NOT FOUND 1060515818961267558, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 8793335756749822878, t = (nil)
NOT FOUND 6279450757637956448, t = (nil)
NOT FOUND 3007998007212841984, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 5215316060009654146, t = (nil)
NOT FOUND 5714759428968292091, t = (nil)
NOT FOUND 6956881099976513757, t = (nil)
NOT FOUND 5712371958299670568, t = (nil)
NOT FOUND 7089351163448473687, t = (nil)
NOT FOUND 4308774129750358558, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 7219923473481107084, t = (nil)
NOT FOUND 5479010069599805130, t = (nil)
NOT FOUND 4783840187254962324, t = (nil)
NOT FOUND 6804780335029950509, t = (nil)
NOT FOUND 6468599817363165571, t = (nil)
NOT FOUND 5928895162799851188, t = (nil)
NOT FOUND 93738287233321502, t = (nil)
NOT FOUND 5090582168827038495, t = (nil)
NOT FOUND 5503578792476199101, t = (nil)
NOT FOUND 7884164073929128638, t = (nil)
NOT FOUND 2565110028601462443, t = (nil)
NOT FOUND 7645452205953755974, t = (nil)
NOT FOUND 538516696570199172, t = (nil)
NOT FOUND 6468599817363165571, t = (nil)
NOT FOUND 1526178946923150848, t = (nil)
NOT FOUND 395968661155385296, t = (nil)
NOT FOUND 9115424357092902250, t = (nil)
NOT FOUND 6314654949240602923, t = (nil)
NOT FOUND 5330776635831358732, t = (nil)
NOT FOUND 6749802193564863318, t = (nil)
NOT FOUND 7320057726626774071, t = (nil)
NOT FOUND 5701415368069851256, t = (nil)
NOT FOUND 1666997450151391469, t = (nil)
NOT FOUND 4621914104245018149, t = (nil)
NOT FOUND 7857026517758002896, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 7681777860615811080, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 2634654574441120194, t = (nil)
NOT FOUND 6119922861120261743, t = (nil)
NOT FOUND 2223536921427420016, t = (nil)
NOT FOUND 6250939711702312836, t = (nil)
NOT FOUND 9063659955449751151, t = (nil)
NOT FOUND 4947141045229632850, t = (nil)
NOT FOUND 1964134898080471631, t = (nil)
NOT FOUND 3035137828163425690, t = (nil)
NOT FOUND 7062206531332779281, t = (nil)
NOT FOUND 1371038004100404049, t = (nil)
NOT FOUND 8972823797023200590, t = (nil)
NOT FOUND 7650000614924786932, t = (nil)
NOT FOUND 4336078908349518572, t = (nil)
NOT FOUND 6406641007122167195, t = (nil)
NOT FOUND 1973872912210221763, t = (nil)
NOT FOUND 6432567548966223620, t = (nil)
NOT FOUND 5987074345926848181, t = (nil)
NOT FOUND 4234045901497173564, t = (nil)
NOT FOUND 9079347100401481539, t = (nil)
NOT FOUND 355267242065233716, t = (nil)
NOT FOUND 9155324872538998414, t = (nil)
NOT FOUND 3994476057580629762, t = (nil)
NOT FOUND 1825143544308161260, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 732846123624641424, t = (nil)
NOT FOUND 8532435705634705074, t = (nil)
NOT FOUND 6170569374324000210, t = (nil)
NOT FOUND 4377662032209474012, t = (nil)
NOT FOUND 2167826222724779716, t = (nil)
NOT FOUND 941891775515528521, t = (nil)
NOT FOUND 4096533716424357055, t = (nil)
NOT FOUND 4811968299359589719, t = (nil)
NOT FOUND 94743003679723099, t = (nil)
NOT FOUND 5151051643350206282, t = (nil)
NOT FOUND 903258663805664464, t = (nil)
NOT FOUND 9193597512580306653, t = (nil)
NOT FOUND 4221300608527494962, t = (nil)
NOT FOUND 7605793162827411866, t = (nil)
NOT FOUND 5521388554613873002, t = (nil)
NOT FOUND 6841743546959993247, t = (nil)
NOT FOUND 734511568251618525, t = (nil)
NOT FOUND 1452924408664034517, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 6211571716847533308, t = (nil)
NOT FOUND 7377070310430945705, t = (nil)
NOT FOUND 9033549560382289250, t = (nil)
NOT FOUND 7932971212845574765, t = (nil)
NOT FOUND 6521433998877348478, t = (nil)
NOT FOUND 3570359187607831184, t = (nil)
NOT FOUND 2874744553537100463, t = (nil)
NOT FOUND 6674822262952155414, t = (nil)
NOT FOUND 2316305172160481585, t = (nil)
NOT FOUND 6557553026987259204, t = (nil)
NOT FOUND 4503261746837092261, t = (nil)
NOT FOUND 3109738164222206472, t = (nil)
NOT FOUND 7825456483418943354, t = (nil)
NOT FOUND 6299258911709431108, t = (nil)
NOT FOUND 7220848316435488398, t = (nil)
NOT FOUND 1274247360348951971, t = (nil)
NOT FOUND 3659979523484742189, t = (nil)
NOT FOUND 6288010848852449684, t = (nil)
NOT FOUND 6720702193319475682, t = (nil)
NOT FOUND 8085994125883243767, t = (nil)
NOT FOUND 7091505832900134002, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 174504820531254544, t = (nil)
NOT FOUND 3249143510444854632, t = (nil)
NOT FOUND 7039256354140116421, t = (nil)
NOT FOUND 2898444537667401750, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 7264024310923049005, t = (nil)
NOT FOUND 3181428148633497107, t = (nil)
NOT FOUND 5504171765740629099, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 1151208614283172834, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 8699422444769563778, t = (nil)
NOT FOUND 8089243946145715510, t = (nil)
NOT FOUND 3007998007212841984, t = (nil)
NOT FOUND 2043157937839200659, t = (nil)
NOT FOUND 742883190218178570, t = (nil)
NOT FOUND 2974917762954156591, t = (nil)
NOT FOUND 7047660936577511594, t = (nil)
NOT FOUND 5330776635831358732, t = (nil)
NOT FOUND 6836918088785706403, t = (nil)
NOT FOUND 4751875536367874258, t = (nil)
NOT FOUND 5592675218540975010, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 1727211707392266244, t = (nil)
NOT FOUND 7562854868217709033, t = (nil)
NOT FOUND 3782891926265711343, t = (nil)
NOT FOUND 7442763039440689937, t = (nil)
NOT FOUND 3639526098286772610, t = (nil)
NOT FOUND 7901120095609156554, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 3994946859879118495, t = (nil)
NOT FOUND 8272280768352818085, t = (nil)
NOT FOUND 116163046578134911, t = (nil)
NOT FOUND 7481258163184927125, t = (nil)
NOT FOUND 7737674004696607934, t = (nil)
NOT FOUND 3734368950413112524, t = (nil)
NOT FOUND 7683267128160588267, t = (nil)
NOT FOUND 9030929227628227981, t = (nil)
NOT FOUND 1823068356392620332, t = (nil)
NOT FOUND 2988999067965658214, t = (nil)
NOT FOUND 8826402155804677445, t = (nil)
NOT FOUND 108034111850100518, t = (nil)
NOT FOUND 5623360701073006604, t = (nil)
NOT FOUND 5179657106108457185, t = (nil)
NOT FOUND 5398242949314205327, t = (nil)
NOT FOUND 1638539089991751593, t = (nil)
NOT FOUND 1450647767271315420, t = (nil)
NOT FOUND 9080943083678099707, t = (nil)
NOT FOUND 2482908169958064188, t = (nil)
NOT FOUND 9033549560382289250, t = (nil)
NOT FOUND 7831909954511813319, t = (nil)
NOT FOUND 1371038004100404049, t = (nil)
NOT FOUND 4527740995835649149, t = (nil)
NOT FOUND 3791352404238320547, t = (nil)
NOT FOUND 5602731730390425879, t = (nil)
NOT FOUND 6152716428961112041, t = (nil)
NOT FOUND 3736793307219896825, t = (nil)
NOT FOUND 6331616231675816656, t = (nil)
NOT FOUND 208247094774511968, t = (nil)
NOT FOUND 5602731730390425879, t = (nil)
NOT FOUND 6672223683282329577, t = (nil)
NOT FOUND 6478791890522975467, t = (nil)
NOT FOUND 144015271992786436, t = (nil)
NOT FOUND 4219549615572289756, t = (nil)
NOT FOUND 2236666817928149988, t = (nil)
NOT FOUND 3300393455110601610, t = (nil)
NOT FOUND 779536628420987465, t = (nil)
NOT FOUND 8439943488632726916, t = (nil)
NOT FOUND 3497351788151977701, t = (nil)
NOT FOUND 5275789968870547059, t = (nil)
NOT FOUND 5487120312022694327, t = (nil)
NOT FOUND 7378141796527254810, t = (nil)
NOT FOUND 1145969732735382711, t = (nil)
NOT FOUND 4415257670748293157, t = (nil)
NOT FOUND 5780303524039703160, t = (nil)
NOT FOUND 687685932900093432, t = (nil)
NOT FOUND 2898444537667401750, t = (nil)
NOT FOUND 7825456483418943354, t = (nil)
NOT FOUND 7825456483418943354, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 4548076301583849030, t = (nil)
NOT FOUND 19676392222505421, t = (nil)
NOT FOUND 4665106001040203691, t = (nil)
NOT FOUND 6151014172131227891, t = (nil)
NOT FOUND 7973892968998456787, t = (nil)
NOT FOUND 1894404324770141792, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 6308090575186722365, t = (nil)
NOT FOUND 514851258428397112, t = (nil)
NOT FOUND 3944014218056834102, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 2059634245491398787, t = (nil)
NOT FOUND 7745259475703030102, t = (nil)
NOT FOUND 5858750995356008417, t = (nil)
NOT FOUND 4059738746561278004, t = (nil)
NOT FOUND 8458724238805634388, t = (nil)
NOT FOUND 6476875863828024823, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 4275530684457612392, t = (nil)
NOT FOUND 7653668673641573349, t = (nil)
NOT FOUND 710931823583069432, t = (nil)
NOT FOUND 63816092904946207, t = (nil)
NOT FOUND 5026813495270945221, t = (nil)
NOT FOUND 3762464471001504444, t = (nil)
NOT FOUND 872943925412626321, t = (nil)
NOT FOUND 5247961057113767791, t = (nil)
NOT FOUND 8993437509052248931, t = (nil)
NOT FOUND 5876576650410896730, t = (nil)
NOT FOUND 2617304391870654709, t = (nil)
NOT FOUND 7825456483418943354, t = (nil)
NOT FOUND 8917629038145844533, t = (nil)
NOT FOUND 3658981943521775180, t = (nil)
NOT FOUND 6690964999368817965, t = (nil)
NOT FOUND 7995903014336060040, t = (nil)
NOT FOUND 4872799348016522550, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 2316305172160481585, t = (nil)
NOT FOUND 3493201761975196178, t = (nil)
NOT FOUND 7506261375210839699, t = (nil)
NOT FOUND 7467995005919725933, t = (nil)
NOT FOUND 6653269858515310267, t = (nil)
NOT FOUND 9046159941465537734, t = (nil)
NOT FOUND 3663914513134757827, t = (nil)
NOT FOUND 6958944041823450003, t = (nil)
NOT FOUND 4984791324183283618, t = (nil)
NOT FOUND 368649035539400320, t = (nil)
NOT FOUND 8952706324627664123, t = (nil)
NOT FOUND 1230726506468393925, t = (nil)
NOT FOUND 321657085753065339, t = (nil)
NOT FOUND 4557651294842821229, t = (nil)
NOT FOUND 5983425222997603407, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 1590029072458691293, t = (nil)
NOT FOUND 2180270681876946250, t = (nil)
NOT FOUND 2711370436955620526, t = (nil)
NOT FOUND 9063659955449751151, t = (nil)
NOT FOUND 4564802722414401965, t = (nil)
NOT FOUND 6963441040874513673, t = (nil)
NOT FOUND 6130186316398911295, t = (nil)
NOT FOUND 543599463181082684, t = (nil)
NOT FOUND 8254369548461199149, t = (nil)
NOT FOUND 5332505235923633901, t = (nil)
NOT FOUND 5865651815073948309, t = (nil)
NOT FOUND 554155938646919395, t = (nil)
NOT FOUND 2913995387197171083, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 8105806254711721159, t = (nil)
NOT FOUND 76262203768514975, t = (nil)
NOT FOUND 5829655711178831717, t = (nil)
NOT FOUND 6572574659599068793, t = (nil)
NOT FOUND 4904494048146685214, t = (nil)
NOT FOUND 2954946820497651117, t = (nil)
NOT FOUND 9168003475569777219, t = (nil)
NOT FOUND 2298971651754607615, t = (nil)
NOT FOUND 930164122716411258, t = (nil)
NOT FOUND 1161110572190183989, t = (nil)
NOT FOUND 667685412139977141, t = (nil)
NOT FOUND 2428482087399851262, t = (nil)
NOT FOUND 1425541353172953185, t = (nil)
NOT FOUND 3127899243953060384, t = (nil)
NOT FOUND 7737674004696607934, t = (nil)
NOT FOUND 7532151420089023885, t = (nil)
NOT FOUND 1566260326115060663, t = (nil)
NOT FOUND 583122023515347552, t = (nil)
NOT FOUND 2426443295161880795, t = (nil)
NOT FOUND 171867257249249744, t = (nil)
NOT FOUND 2790762502188076790, t = (nil)
NOT FOUND 5995693466850303540, t = (nil)
NOT FOUND 8176110544749849778, t = (nil)
NOT FOUND 9120972463261592842, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 2873018694314416853, t = (nil)
NOT FOUND 122852363563563398, t = (nil)
NOT FOUND 8204353726267185469, t = (nil)
NOT FOUND 4503261746837092261, t = (nil)
NOT FOUND 7401827011752426964, t = (nil)
NOT FOUND 1899376718994361056, t = (nil)
NOT FOUND 6288010848852449684, t = (nil)
NOT FOUND 9124980711518417891, t = (nil)
NOT FOUND 6881938809162151582, t = (nil)
NOT FOUND 5842880890282556268, t = (nil)
NOT FOUND 4471661489273587895, t = (nil)
NOT FOUND 4690525989741180145, t = (nil)
NOT FOUND 8488922284681688417, t = (nil)
NOT FOUND 54596219836976752, t = (nil)
NOT FOUND 3736836049950724831, t = (nil)
NOT FOUND 4911485842110208378, t = (nil)
NOT FOUND 1373334269509989976, t = (nil)
NOT FOUND 5326213118573424706, t = (nil)
NOT FOUND 5473827281270176370, t = (nil)
NOT FOUND 5247080212182188084, t = (nil)
NOT FOUND 5595262581179371709, t = (nil)
NOT FOUND 2066936068379509546, t = (nil)
NOT FOUND 4940412990641564156, t = (nil)
NOT FOUND 8388315435161353284, t = (nil)
NOT FOUND 6443204298349286954, t = (nil)
NOT FOUND 4945557625113525421, t = (nil)
NOT FOUND 4936251811214508606, t = (nil)
NOT FOUND 5896959376960193752, t = (nil)
NOT FOUND 6279450757637956448, t = (nil)
NOT FOUND 3135505649329116405, t = (nil)
NOT FOUND 7064431633080380544, t = (nil)
NOT FOUND 971649565472689179, t = (nil)
NOT FOUND 928953929668025904, t = (nil)
NOT FOUND 2338669140376924579, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 3382009122347247230, t = (nil)
NOT FOUND 4046495637922051410, t = (nil)
NOT FOUND 8693560864903984293, t = (nil)
NOT FOUND 2680685418768901334, t = (nil)
NOT FOUND 5503836666240340737, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 3178118945509914356, t = (nil)
NOT FOUND 1371038004100404049, t = (nil)
NOT FOUND 1056429988914817869, t = (nil)
NOT FOUND 4205215701721951928, t = (nil)
NOT FOUND 6991701993433690350, t = (nil)
NOT FOUND 3384883618114603948, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 5301621301423439035, t = (nil)
NOT FOUND 6753985289553730051, t = (nil)
NOT FOUND 31957421273247563, t = (nil)
NOT FOUND 75794483868935522, t = (nil)
NOT FOUND 3731087471400974454, t = (nil)
NOT FOUND 5471289346782358808, t = (nil)
NOT FOUND 2280733335801137508, t = (nil)
NOT FOUND 6967504074731497956, t = (nil)
NOT FOUND 8355965413513000770, t = (nil)
NOT FOUND 1008626728986089214, t = (nil)
NOT FOUND 7430312900402302320, t = (nil)
NOT FOUND 6320838232743476182, t = (nil)
NOT FOUND 7320057726626774071, t = (nil)
NOT FOUND 5825714821036147089, t = (nil)
NOT FOUND 3749754736835884157, t = (nil)
NOT FOUND 7825456483418943354, t = (nil)
NOT FOUND 5592432897724879644, t = (nil)
NOT FOUND 8131611547726713690, t = (nil)
NOT FOUND 1148106276732652302, t = (nil)
NOT FOUND 3417674540432001330, t = (nil)
NOT FOUND 6757848631311733025, t = (nil)
NOT FOUND 4226948765103976261, t = (nil)
NOT FOUND 4407102025572353801, t = (nil)
NOT FOUND 7790539000675444904, t = (nil)
NOT FOUND 3007998007212841984, t = (nil)
NOT FOUND 6977073150725399855, t = (nil)
NOT FOUND 2466115425993618194, t = (nil)
NOT FOUND 342073222491583121, t = (nil)
NOT FOUND 1057134814463770727, t = (nil)
NOT FOUND 360106064499277996, t = (nil)
NOT FOUND 4668079638380486705, t = (nil)
NOT FOUND 3271954875359448741, t = (nil)
NOT FOUND 6505830309541442089, t = (nil)
NOT FOUND 1624518709927584880, t = (nil)
NOT FOUND 2902417379173035666, t = (nil)
NOT FOUND 4587467273003270746, t = (nil)
NOT FOUND 6306885462783405401, t = (nil)
NOT FOUND 3217025018370827170, t = (nil)
NOT FOUND 4503261746837092261, t = (nil)
NOT FOUND 718306335406684698, t = (nil)
NOT FOUND 7515335642934721345, t = (nil)
NOT FOUND 5777533269452638102, t = (nil)
NOT FOUND 3257123984356052372, t = (nil)
NOT FOUND 7161715138464877125, t = (nil)
NOT FOUND 3934690299346954462, t = (nil)
NOT FOUND 8277712391186263901, t = (nil)
NOT FOUND 4802136474516329422, t = (nil)
NOT FOUND 699677046702168273, t = (nil)
NOT FOUND 5602731730390425879, t = (nil)
NOT FOUND 5749016332468810119, t = (nil)
NOT FOUND 4145847282672384173, t = (nil)
NOT FOUND 7280556176418287769, t = (nil)
NOT FOUND 8286269139675015792, t = (nil)
NOT FOUND 4815075610237413070, t = (nil)
NOT FOUND 1494498341504206318, t = (nil)
NOT FOUND 4689423649950627953, t = (nil)
NOT FOUND 4436385503915394342, t = (nil)
NOT FOUND 6308090575186722365, t = (nil)
NOT FOUND 812389546721938590, t = (nil)
NOT FOUND 5876576650410896730, t = (nil)
NOT FOUND 7256883157464883207, t = (nil)
NOT FOUND 5064136185760182171, t = (nil)
NOT FOUND 2603067851815868736, t = (nil)
NOT FOUND 2588805159737887389, t = (nil)
NOT FOUND 2582229497740488040, t = (nil)
NOT FOUND 5707431619080204357, t = (nil)
