Turbo Boost disabled for all CPUs
2
../quartz/scripts/../build/src/lib/libnvmemul.so
../quartz/scripts/../nvmemul.ini

===== B-Tree App Output =====

NOT FOUND 1913842611312339781, t = (nil)
NOT FOUND 4953272446047522139, t = (nil)
NOT FOUND 7987374144030097582, t = (nil)
NOT FOUND 422232708333356772, t = (nil)
NOT FOUND 2284354528637367335, t = (nil)
NOT FOUND 6946589604386663341, t = (nil)
NOT FOUND 4405965040825276029, t = (nil)
NOT FOUND 1945373956337096920, t = (nil)
NOT FOUND 4001318363964177664, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 8379697700217743445, t = (nil)
NOT FOUND 7720062051004120099, t = (nil)
NOT FOUND 945750894652118760, t = (nil)
NOT FOUND 4832176081694344719, t = (nil)
NOT FOUND 8120714507537338761, t = (nil)
NOT FOUND 1001435694205684201, t = (nil)
NOT FOUND 1106029806714902691, t = (nil)
NOT FOUND 3400574467418002942, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 6458056815412550840, t = (nil)
NOT FOUND 8523878015535891871, t = (nil)
NOT FOUND 2279328333233315451, t = (nil)
NOT FOUND 7392477097535011285, t = (nil)
NOT FOUND 2161996018189920654, t = (nil)
NOT FOUND 4727129829156530725, t = (nil)
NOT FOUND 8523878015535891871, t = (nil)
NOT FOUND 7659727608404038111, t = (nil)
NOT FOUND 4679346241359366382, t = (nil)
NOT FOUND 6339749365886506593, t = (nil)
NOT FOUND 4473699043457390249, t = (nil)
NOT FOUND 3373272547577546382, t = (nil)
NOT FOUND 6841738932341468184, t = (nil)
NOT FOUND 8420877394432422559, t = (nil)
NOT FOUND 8980035984338735454, t = (nil)
NOT FOUND 8238606559076432331, t = (nil)
NOT FOUND 1527443575750075267, t = (nil)
NOT FOUND 8068812898976882314, t = (nil)
NOT FOUND 6841738932341468184, t = (nil)
NOT FOUND 363774466721334727, t = (nil)
NOT FOUND 1623963693841807850, t = (nil)
NOT FOUND 3924883603854202205, t = (nil)
NOT FOUND 1159306489290799651, t = (nil)
NOT FOUND 137664192008560445, t = (nil)
NOT FOUND 7240139512939236941, t = (nil)
NOT FOUND 4285097084091472130, t = (nil)
NOT FOUND 2146912099000487515, t = (nil)
NOT FOUND 3814522773136795045, t = (nil)
NOT FOUND 2434293398115793956, t = (nil)
NOT FOUND 1751914656196439407, t = (nil)
NOT FOUND 5149092527974842735, t = (nil)
NOT FOUND 1838110257140793480, t = (nil)
NOT FOUND 5149092527974842735, t = (nil)
NOT FOUND 2689277208174543863, t = (nil)
NOT FOUND 4123337493352823197, t = (nil)
NOT FOUND 1681644021723052862, t = (nil)
NOT FOUND 7810415475285331706, t = (nil)
NOT FOUND 8851170205573449186, t = (nil)
NOT FOUND 5285940461851062585, t = (nil)
NOT FOUND 8321385974552598766, t = (nil)
NOT FOUND 1255192812994437168, t = (nil)
NOT FOUND 2334056658848319640, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 4702295479681004181, t = (nil)
NOT FOUND 7041604169523469805, t = (nil)
NOT FOUND 5575948611321803551, t = (nil)
NOT FOUND 6142253080107963628, t = (nil)
NOT FOUND 6616326646548717603, t = (nil)
NOT FOUND 3992564352893879032, t = (nil)
NOT FOUND 8523878015535891871, t = (nil)
NOT FOUND 5326914141014576547, t = (nil)
NOT FOUND 5809525066861750217, t = (nil)
NOT FOUND 735009975293804646, t = (nil)
NOT FOUND 2901399625830400405, t = (nil)
NOT FOUND 45817478195036441, t = (nil)
NOT FOUND 6841738932341468184, t = (nil)
NOT FOUND 8496823769835565266, t = (nil)
NOT FOUND 3187806308185883166, t = (nil)
NOT FOUND 1150796506151065744, t = (nil)
NOT FOUND 2118302379457068590, t = (nil)
NOT FOUND 1640546636083755885, t = (nil)
NOT FOUND 3547447734358630192, t = (nil)
NOT FOUND 4896685225516652309, t = (nil)
NOT FOUND 4063629705373901068, t = (nil)
NOT FOUND 2193660718270440142, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 3321256919576242501, t = (nil)
NOT FOUND 1201439718680515867, t = (nil)
NOT FOUND 6415930302320386432, t = (nil)
NOT FOUND 7985265774618512793, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 7307373542677800536, t = (nil)
NOT FOUND 4501064810449107184, t = (nil)
NOT FOUND 7957744994367532542, t = (nil)
NOT FOUND 6354725022625713731, t = (nil)
NOT FOUND 8082173579776567721, t = (nil)
NOT FOUND 6827250768669509898, t = (nil)
NOT FOUND 8874928932532656640, t = (nil)
NOT FOUND 2754576878601239906, t = (nil)
NOT FOUND 2126502695502605361, t = (nil)
NOT FOUND 3773189245787216156, t = (nil)
NOT FOUND 1450249778706598954, t = (nil)
NOT FOUND 3400397293018473050, t = (nil)
NOT FOUND 1361565718868341559, t = (nil)
NOT FOUND 115753083484460455, t = (nil)
NOT FOUND 3827299142972560570, t = (nil)
NOT FOUND 918814108190324608, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 7469748225307651538, t = (nil)
NOT FOUND 5389104997074090347, t = (nil)
NOT FOUND 1277776969377226954, t = (nil)
NOT FOUND 207560124234312959, t = (nil)
NOT FOUND 4285097084091472130, t = (nil)
NOT FOUND 2720363918559138575, t = (nil)
NOT FOUND 1022067162316671470, t = (nil)
NOT FOUND 5846805539077186929, t = (nil)
NOT FOUND 7772588254634265039, t = (nil)
NOT FOUND 6402473346961840556, t = (nil)
NOT FOUND 538434230387370111, t = (nil)
NOT FOUND 1442821841941093306, t = (nil)
NOT FOUND 765140838999078741, t = (nil)
NOT FOUND 6827250768669509898, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 8196455382154596283, t = (nil)
NOT FOUND 2269140140285706922, t = (nil)
NOT FOUND 1825812541741558395, t = (nil)
NOT FOUND 1671747818112200995, t = (nil)
NOT FOUND 4626186471229603323, t = (nil)
NOT FOUND 6794463112358987775, t = (nil)
NOT FOUND 3812845181783831197, t = (nil)
NOT FOUND 9185527765557578245, t = (nil)
NOT FOUND 5277498396130072335, t = (nil)
NOT FOUND 1111123311105166294, t = (nil)
NOT FOUND 9222170192665954162, t = (nil)
NOT FOUND 2353464452308970583, t = (nil)
NOT FOUND 4227180742794012389, t = (nil)
NOT FOUND 956974987424171170, t = (nil)
NOT FOUND 5413020956525675340, t = (nil)
NOT FOUND 985350730736673189, t = (nil)
NOT FOUND 7772588254634265039, t = (nil)
NOT FOUND 6374851144051478913, t = (nil)
NOT FOUND 676281968468473022, t = (nil)
NOT FOUND 7985825170136083561, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 2753504925553011038, t = (nil)
NOT FOUND 5582264804041722830, t = (nil)
NOT FOUND 3185728559976272284, t = (nil)
NOT FOUND 8605336100499751215, t = (nil)
NOT FOUND 4678553494007952617, t = (nil)
NOT FOUND 1870488365825172409, t = (nil)
NOT FOUND 5258015792710016714, t = (nil)
NOT FOUND 1838254476331395447, t = (nil)
NOT FOUND 8934221865405424207, t = (nil)
NOT FOUND 3030550837727864466, t = (nil)
NOT FOUND 7256595016785229115, t = (nil)
NOT FOUND 6278663987666691023, t = (nil)
NOT FOUND 4191560793025391815, t = (nil)
NOT FOUND 4414232342830940197, t = (nil)
NOT FOUND 695230458244008632, t = (nil)
NOT FOUND 297864585634725584, t = (nil)
NOT FOUND 8448246741904965905, t = (nil)
NOT FOUND 1091025584488957369, t = (nil)
NOT FOUND 2419501687014694139, t = (nil)
NOT FOUND 158972702872152531, t = (nil)
NOT FOUND 9057632600523919609, t = (nil)
NOT FOUND 3508674042382337684, t = (nil)
NOT FOUND 8908893254445935359, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 988924249641217312, t = (nil)
NOT FOUND 4074478773166956793, t = (nil)
NOT FOUND 5241586689887991612, t = (nil)
NOT FOUND 6062196339661295402, t = (nil)
NOT FOUND 2580536064497683835, t = (nil)
NOT FOUND 9151535039231125259, t = (nil)
NOT FOUND 4916157191728028748, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 4038149542485553884, t = (nil)
NOT FOUND 5005116966229510904, t = (nil)
NOT FOUND 5854807458593811927, t = (nil)
NOT FOUND 4485217973616654629, t = (nil)
NOT FOUND 5982586752094448744, t = (nil)
NOT FOUND 7448962223778893336, t = (nil)
NOT FOUND 7017373143094078126, t = (nil)
NOT FOUND 7675264979995360476, t = (nil)
NOT FOUND 8492931049901213390, t = (nil)
NOT FOUND 8945695653655879521, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 5116074583726153496, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 5049600686478457661, t = (nil)
NOT FOUND 7958895389634193985, t = (nil)
NOT FOUND 4377946444943001406, t = (nil)
NOT FOUND 8248959566341252121, t = (nil)
NOT FOUND 6694208941384823173, t = (nil)
NOT FOUND 2879686087202494881, t = (nil)
NOT FOUND 1767881280913823028, t = (nil)
NOT FOUND 7859091804808887311, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 5123622907165201389, t = (nil)
NOT FOUND 1753047865053375509, t = (nil)
NOT FOUND 1234447132984217399, t = (nil)
NOT FOUND 3774898467535825289, t = (nil)
NOT FOUND 3347213665975854899, t = (nil)
NOT FOUND 3864366356726044029, t = (nil)
NOT FOUND 4079305763693288310, t = (nil)
NOT FOUND 6895927273598067291, t = (nil)
NOT FOUND 485177230724228600, t = (nil)
NOT FOUND 3826097052375212866, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 6900832117082441232, t = (nil)
NOT FOUND 104205215177829257, t = (nil)
NOT FOUND 8914399662213244398, t = (nil)
NOT FOUND 5750059154781312204, t = (nil)
NOT FOUND 4965768724822027084, t = (nil)
NOT FOUND 6927992726710715570, t = (nil)
NOT FOUND 2550333919405655088, t = (nil)
NOT FOUND 6395998251920442369, t = (nil)
NOT FOUND 918814108190324608, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 1828792687209976416, t = (nil)
NOT FOUND 1448749496698606453, t = (nil)
NOT FOUND 832205990902970267, t = (nil)
NOT FOUND 5255141637081197103, t = (nil)
NOT FOUND 895374509962325997, t = (nil)
NOT FOUND 3940000337986869158, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 6689849545373722687, t = (nil)
NOT FOUND 5776346284106386418, t = (nil)
NOT FOUND 8080063140994840227, t = (nil)
NOT FOUND 4732508172193111021, t = (nil)
NOT FOUND 285113102803433347, t = (nil)
NOT FOUND 2287344352388041369, t = (nil)
NOT FOUND 4044140932359523862, t = (nil)
NOT FOUND 965417496966713724, t = (nil)
NOT FOUND 1341045309271302845, t = (nil)
NOT FOUND 7113626619032082797, t = (nil)
NOT FOUND 4900648752047188398, t = (nil)
NOT FOUND 6325726680846705024, t = (nil)
NOT FOUND 7310735338920683467, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 8116367207734829251, t = (nil)
NOT FOUND 8978682350444127636, t = (nil)
NOT FOUND 1255192812994437168, t = (nil)
NOT FOUND 6826209313123095252, t = (nil)
NOT FOUND 2958720482526606386, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 5607327121190468537, t = (nil)
NOT FOUND 6282059732635830893, t = (nil)
NOT FOUND 8691498746741792973, t = (nil)
NOT FOUND 5855814475291379663, t = (nil)
NOT FOUND 5909029624876508288, t = (nil)
NOT FOUND 6841738932341468184, t = (nil)
NOT FOUND 560525712912243175, t = (nil)
NOT FOUND 367755529444962706, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 4127927485453170035, t = (nil)
NOT FOUND 8499775544171712848, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 4084402032335707622, t = (nil)
NOT FOUND 4735319036783494153, t = (nil)
NOT FOUND 2910020479274373784, t = (nil)
NOT FOUND 9222272804887661653, t = (nil)
NOT FOUND 4447750823525117259, t = (nil)
NOT FOUND 5043908556569691793, t = (nil)
NOT FOUND 8632989688808541924, t = (nil)
NOT FOUND 813211327695924032, t = (nil)
NOT FOUND 8338859516309396464, t = (nil)
NOT FOUND 8393311233674594604, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 6915433953486849754, t = (nil)
NOT FOUND 3937014630559595569, t = (nil)
NOT FOUND 2146912099000487515, t = (nil)
NOT FOUND 5753045352543069706, t = (nil)
NOT FOUND 3096576190594560150, t = (nil)
NOT FOUND 8197432735107276298, t = (nil)
NOT FOUND 4940672285236084592, t = (nil)
NOT FOUND 665833904095735726, t = (nil)
NOT FOUND 1731908064851644178, t = (nil)
NOT FOUND 6063760597740998872, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 1392199978705252613, t = (nil)
NOT FOUND 6047385468673384541, t = (nil)
NOT FOUND 1117524485137308616, t = (nil)
NOT FOUND 5528225319135174876, t = (nil)
NOT FOUND 4628083907455942453, t = (nil)
NOT FOUND 8523878015535891871, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 6101123311242929323, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 8548712833394421541, t = (nil)
NOT FOUND 5013233832846507315, t = (nil)
NOT FOUND 8844640146627044421, t = (nil)
NOT FOUND 303566150593498580, t = (nil)
NOT FOUND 5764672227727678742, t = (nil)
NOT FOUND 4490462778618847820, t = (nil)
NOT FOUND 4186062731992854151, t = (nil)
NOT FOUND 348516403205252448, t = (nil)
NOT FOUND 370588670734969011, t = (nil)
NOT FOUND 2843374712583379790, t = (nil)
NOT FOUND 5267495415016866340, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 142134235443820423, t = (nil)
NOT FOUND 6538175853715350948, t = (nil)
NOT FOUND 2712650823784735916, t = (nil)
NOT FOUND 5343928389776637453, t = (nil)
NOT FOUND 2105859039377262002, t = (nil)
NOT FOUND 3285119336982566107, t = (nil)
NOT FOUND 1847047423193897228, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 5983996516068798031, t = (nil)
NOT FOUND 2089083597438929854, t = (nil)
NOT FOUND 1416583819637910131, t = (nil)
NOT FOUND 6479430631157615827, t = (nil)
NOT FOUND 146302872612973558, t = (nil)
NOT FOUND 2029321982491549992, t = (nil)
NOT FOUND 7681518433306956285, t = (nil)
NOT FOUND 4735319036783494153, t = (nil)
NOT FOUND 1566201504417695495, t = (nil)
NOT FOUND 4244265696406941284, t = (nil)
NOT FOUND 297274602532017837, t = (nil)
NOT FOUND 8038334887756891415, t = (nil)
NOT FOUND 1010836251369322138, t = (nil)
NOT FOUND 8194687591499914771, t = (nil)
NOT FOUND 3595290500419775288, t = (nil)
NOT FOUND 7037466840943067054, t = (nil)
NOT FOUND 1932532619435162364, t = (nil)
NOT FOUND 4362729487827965595, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 7211587529848645425, t = (nil)
NOT FOUND 1596679999222147833, t = (nil)
NOT FOUND 7008096874093729142, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 4203383469433106753, t = (nil)
NOT FOUND 3276738287796259878, t = (nil)
NOT FOUND 2967779909886350887, t = (nil)
NOT FOUND 976666848519703052, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 726591387173666582, t = (nil)
NOT FOUND 3958008437628499997, t = (nil)
NOT FOUND 184789404202343951, t = (nil)
NOT FOUND 1209983909442255415, t = (nil)
NOT FOUND 4085026614217942440, t = (nil)
NOT FOUND 7021330524429450674, t = (nil)
NOT FOUND 2914998649025674442, t = (nil)
NOT FOUND 4318509616873464625, t = (nil)
NOT FOUND 2879457545437703638, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 2238636423429468882, t = (nil)
NOT FOUND 7661540378297812277, t = (nil)
NOT FOUND 5518209835283715652, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 6800603063363118584, t = (nil)
NOT FOUND 8224380589661995823, t = (nil)
NOT FOUND 8980035984338735454, t = (nil)
NOT FOUND 2349864394264358192, t = (nil)
NOT FOUND 2276861953144194028, t = (nil)
NOT FOUND 6641170792488284594, t = (nil)
NOT FOUND 7844549076395414389, t = (nil)
NOT FOUND 5976611491578303295, t = (nil)
NOT FOUND 9107037274747144707, t = (nil)
NOT FOUND 2165266623929005274, t = (nil)
NOT FOUND 1332265040289077502, t = (nil)
NOT FOUND 3921700300409133749, t = (nil)
NOT FOUND 3994783306077534418, t = (nil)
NOT FOUND 95599927400792258, t = (nil)
NOT FOUND 2746716112569243853, t = (nil)
NOT FOUND 3431386665512896701, t = (nil)
NOT FOUND 8642988381786852981, t = (nil)
NOT FOUND 3412324427125635667, t = (nil)
NOT FOUND 6445497575569740549, t = (nil)
NOT FOUND 2348521662427134811, t = (nil)
NOT FOUND 916652283377809586, t = (nil)
NOT FOUND 4490462778618847820, t = (nil)
NOT FOUND 1321637990551621177, t = (nil)
NOT FOUND 1197069508504144492, t = (nil)
NOT FOUND 3073312609771186666, t = (nil)
NOT FOUND 4516139412043972471, t = (nil)
NOT FOUND 7508912662561911569, t = (nil)
NOT FOUND 5950805316900622911, t = (nil)
NOT FOUND 4490462778618847820, t = (nil)
NOT FOUND 7772588254634265039, t = (nil)
NOT FOUND 7995575029281535079, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 7772588254634265039, t = (nil)
NOT FOUND 7289769528763271265, t = (nil)
NOT FOUND 2742199451079583668, t = (nil)
NOT FOUND 4180100809947841025, t = (nil)
NOT FOUND 6930486569137545770, t = (nil)
NOT FOUND 1685006332911471692, t = (nil)
NOT FOUND 3175555399050757371, t = (nil)
NOT FOUND 4232214266135546260, t = (nil)
NOT FOUND 3584921472118627770, t = (nil)
NOT FOUND 3448110653542109587, t = (nil)
NOT FOUND 543443930431977135, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 4984288815318515418, t = (nil)
NOT FOUND 6348378510576398684, t = (nil)
NOT FOUND 8992020043388001434, t = (nil)
NOT FOUND 3499495310639295830, t = (nil)
NOT FOUND 4302361021638036691, t = (nil)
NOT FOUND 3710255267073453365, t = (nil)
NOT FOUND 2331750524252306472, t = (nil)
NOT FOUND 7576413771664683857, t = (nil)
NOT FOUND 9059981475871850378, t = (nil)
NOT FOUND 3864366356726044029, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 2496804330367928450, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 4991326249820996683, t = (nil)
NOT FOUND 79804413660520830, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 1531301635092770631, t = (nil)
NOT FOUND 3595290500419775288, t = (nil)
NOT FOUND 5304893328024634014, t = (nil)
NOT FOUND 8743273288059533165, t = (nil)
NOT FOUND 2512955974343812442, t = (nil)
NOT FOUND 6844345411890755173, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 8893939698088804187, t = (nil)
NOT FOUND 5607327121190468537, t = (nil)
NOT FOUND 1870488365825172409, t = (nil)
NOT FOUND 1683610686778707998, t = (nil)
NOT FOUND 5724425788379701420, t = (nil)
NOT FOUND 6577555718824580804, t = (nil)
NOT FOUND 9131735507561663303, t = (nil)
NOT FOUND 8263132616193969756, t = (nil)
NOT FOUND 4550414015468668376, t = (nil)
NOT FOUND 8728618989688695698, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 6841738932341468184, t = (nil)
NOT FOUND 8132859859873227313, t = (nil)
NOT FOUND 1415678415736338425, t = (nil)
NOT FOUND 8523878015535891871, t = (nil)
NOT FOUND 4823307336790656771, t = (nil)
NOT FOUND 6601598435512931569, t = (nil)
NOT FOUND 8626377363761995907, t = (nil)
NOT FOUND 6623816358862920280, t = (nil)
NOT FOUND 8914399662213244398, t = (nil)
NOT FOUND 3708976827093207667, t = (nil)
NOT FOUND 3060881561939941081, t = (nil)
NOT FOUND 6347716086109188310, t = (nil)
NOT FOUND 3252142300144023116, t = (nil)
NOT FOUND 8344331261123562134, t = (nil)
NOT FOUND 7896930147027727376, t = (nil)
NOT FOUND 1656432201536405532, t = (nil)
NOT FOUND 7278867082122495941, t = (nil)
NOT FOUND 7217012836889210825, t = (nil)
NOT FOUND 9193939824028410460, t = (nil)
NOT FOUND 7425550748312139551, t = (nil)
NOT FOUND 1962980314064793746, t = (nil)
NOT FOUND 6698767404622947008, t = (nil)
NOT FOUND 8756292844320190151, t = (nil)
NOT FOUND 1429343775974831422, t = (nil)
NOT FOUND 6989343931112056398, t = (nil)
NOT FOUND 4769060891094379033, t = (nil)
NOT FOUND 1006531980549999634, t = (nil)
NOT FOUND 7702238609328037658, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 918814108190324608, t = (nil)
NOT FOUND 4655609194891073782, t = (nil)
NOT FOUND 7222859820341411602, t = (nil)
NOT FOUND 2463734177963856336, t = (nil)
NOT FOUND 8404358964695111546, t = (nil)
NOT FOUND 2027898020458900474, t = (nil)
NOT FOUND 1113370014177543930, t = (nil)
NOT FOUND 3748503437386452335, t = (nil)
NOT FOUND 1028220906828350662, t = (nil)
NOT FOUND 8342139357054054023, t = (nil)
NOT FOUND 3539833279576074601, t = (nil)
NOT FOUND 4866887789839587902, t = (nil)
NOT FOUND 242432790668467464, t = (nil)
NOT FOUND 1693974230977136412, t = (nil)
NOT FOUND 9021161351174928673, t = (nil)
NOT FOUND 4824361527481808288, t = (nil)
NOT FOUND 7276281173383487928, t = (nil)
NOT FOUND 887159548667245672, t = (nil)
NOT FOUND 8238606559076432331, t = (nil)
NOT FOUND 1352928555570285523, t = (nil)
NOT FOUND 3024960724036006842, t = (nil)
NOT FOUND 2458410013481412593, t = (nil)
NOT FOUND 2031282254060481026, t = (nil)
NOT FOUND 8676633630457775520, t = (nil)
NOT FOUND 2458546575183162266, t = (nil)
NOT FOUND 3588125219855314214, t = (nil)
NOT FOUND 5018847323274703231, t = (nil)
NOT FOUND 1723886015690992666, t = (nil)
NOT FOUND 707756376028310154, t = (nil)
NOT FOUND 5529202876302408694, t = (nil)
NOT FOUND 8781204058751847544, t = (nil)
NOT FOUND 7398474549989758935, t = (nil)
NOT FOUND 7738456478905313004, t = (nil)
NOT FOUND 5185161912216355583, t = (nil)
NOT FOUND 7722862598628298014, t = (nil)
NOT FOUND 5903044465683552861, t = (nil)
NOT FOUND 5817123824180980761, t = (nil)
NOT FOUND 918814108190324608, t = (nil)
NOT FOUND 2968680905065182258, t = (nil)
NOT FOUND 2014776273680952062, t = (nil)
NOT FOUND 4941163687790660932, t = (nil)
NOT FOUND 1784053591169255114, t = (nil)
NOT FOUND 4618069237427092968, t = (nil)
NOT FOUND 8788427165558645799, t = (nil)
NOT FOUND 1553942550046189744, t = (nil)
NOT FOUND 986146612096179594, t = (nil)
NOT FOUND 902247060213846622, t = (nil)
NOT FOUND 8016419325099700488, t = (nil)
NOT FOUND 2682559861329694610, t = (nil)
NOT FOUND 1127365726659771532, t = (nil)
NOT FOUND 7243754536437613231, t = (nil)
NOT FOUND 1144456961468152937, t = (nil)
NOT FOUND 8454999566035546550, t = (nil)
NOT FOUND 1689767499523502521, t = (nil)
