Turbo Boost disabled for all CPUs
2
../quartz/scripts/../build/src/lib/libnvmemul.so
../quartz/scripts/../nvmemul.ini

===== B-Tree App Output =====

NOT FOUND 6725802560547214944, t = (nil)
NOT FOUND 6004010540341134649, t = (nil)
NOT FOUND 6305816873570758638, t = (nil)
NOT FOUND 4224386505444339639, t = (nil)
NOT FOUND 8604116306609443298, t = (nil)
NOT FOUND 7415130585799477506, t = (nil)
NOT FOUND 451113249809919483, t = (nil)
NOT FOUND 7795782743398217205, t = (nil)
NOT FOUND 6937337905472521910, t = (nil)
NOT FOUND 244390845743320526, t = (nil)
NOT FOUND 8453253880012525670, t = (nil)
NOT FOUND 8844045030300134382, t = (nil)
NOT FOUND 5683831600634926425, t = (nil)
NOT FOUND 4713209876327540293, t = (nil)
NOT FOUND 4521308590775262556, t = (nil)
NOT FOUND 7422879454722479184, t = (nil)
NOT FOUND 507086764765365864, t = (nil)
NOT FOUND 7714033281997932231, t = (nil)
NOT FOUND 899107131274399511, t = (nil)
NOT FOUND 5235110104675067969, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 8891147614285123135, t = (nil)
NOT FOUND 2998464562492279820, t = (nil)
NOT FOUND 4890737522389632612, t = (nil)
NOT FOUND 4622222323503071080, t = (nil)
NOT FOUND 1219449695022010403, t = (nil)
NOT FOUND 5465913181516883070, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 3109294301235482111, t = (nil)
NOT FOUND 3153211479124355875, t = (nil)
NOT FOUND 9193686352489183376, t = (nil)
NOT FOUND 3966536173987097423, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 2511815288278823983, t = (nil)
NOT FOUND 5351772488929053147, t = (nil)
NOT FOUND 3480418151882168272, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 6780108898987870101, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 507086764765365864, t = (nil)
NOT FOUND 786421989107985496, t = (nil)
NOT FOUND 1538393930701408281, t = (nil)
NOT FOUND 7151696470175379412, t = (nil)
NOT FOUND 3466006557398218609, t = (nil)
NOT FOUND 4393651487377817845, t = (nil)
NOT FOUND 3548148304175948997, t = (nil)
NOT FOUND 5101078330561682591, t = (nil)
NOT FOUND 8211011889200612502, t = (nil)
NOT FOUND 2084280081945096782, t = (nil)
NOT FOUND 7060688934919078598, t = (nil)
NOT FOUND 4358543346907033500, t = (nil)
NOT FOUND 2457003649665878348, t = (nil)
NOT FOUND 3676755680534125771, t = (nil)
NOT FOUND 8730213017817821240, t = (nil)
NOT FOUND 3080969314800493435, t = (nil)
NOT FOUND 3493972703115008705, t = (nil)
NOT FOUND 866594604830644597, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 7143000117487828654, t = (nil)
NOT FOUND 6730642863803585589, t = (nil)
NOT FOUND 3735557632216681588, t = (nil)
NOT FOUND 2407815684461049515, t = (nil)
NOT FOUND 4388863236641973070, t = (nil)
NOT FOUND 6934163217097431092, t = (nil)
NOT FOUND 2073034580730440949, t = (nil)
NOT FOUND 202884437229629791, t = (nil)
NOT FOUND 451113249809919483, t = (nil)
NOT FOUND 7536413473647777371, t = (nil)
NOT FOUND 9075845531137489061, t = (nil)
NOT FOUND 1824586594481503161, t = (nil)
NOT FOUND 1779023984825197051, t = (nil)
NOT FOUND 2106950932986436715, t = (nil)
NOT FOUND 929886646674989637, t = (nil)
NOT FOUND 2602290657283435025, t = (nil)
NOT FOUND 7815819635992962687, t = (nil)
NOT FOUND 8178247721744059941, t = (nil)
NOT FOUND 2862362395952121850, t = (nil)
NOT FOUND 1665832192821308785, t = (nil)
NOT FOUND 3050239435090153162, t = (nil)
NOT FOUND 3371388792994634601, t = (nil)
NOT FOUND 3251908460287581899, t = (nil)
NOT FOUND 7680156095573523021, t = (nil)
NOT FOUND 8864609710263007802, t = (nil)
NOT FOUND 4191773832147638617, t = (nil)
NOT FOUND 130448102914877691, t = (nil)
NOT FOUND 6922949224981364010, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 2725248541644297045, t = (nil)
NOT FOUND 1559824114746703981, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 6983594043890769923, t = (nil)
NOT FOUND 5394225661967738208, t = (nil)
NOT FOUND 6595024032346970667, t = (nil)
NOT FOUND 7805487002779942294, t = (nil)
NOT FOUND 2721483813167097402, t = (nil)
NOT FOUND 29652241357030710, t = (nil)
NOT FOUND 146507631954312966, t = (nil)
NOT FOUND 353090314696084819, t = (nil)
NOT FOUND 5061739698504589081, t = (nil)
NOT FOUND 2086607265083591143, t = (nil)
NOT FOUND 2271282332279074382, t = (nil)
NOT FOUND 7166407759894357181, t = (nil)
NOT FOUND 16958484786818081, t = (nil)
NOT FOUND 2017633681541610476, t = (nil)
NOT FOUND 6059052225091081878, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 1915847325903602715, t = (nil)
NOT FOUND 947160832001474793, t = (nil)
NOT FOUND 7414114931235448644, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 472947843792314803, t = (nil)
NOT FOUND 5860081553968095256, t = (nil)
NOT FOUND 47324252106589681, t = (nil)
NOT FOUND 7456739882753306777, t = (nil)
NOT FOUND 5778801239108816325, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 470461141682700843, t = (nil)
NOT FOUND 7453698129339312986, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 4890796955594499069, t = (nil)
NOT FOUND 5788274584640480617, t = (nil)
NOT FOUND 7918101952770349958, t = (nil)
NOT FOUND 4559556951152841856, t = (nil)
NOT FOUND 902050620722594530, t = (nil)
NOT FOUND 2952498638668134938, t = (nil)
NOT FOUND 7031043569478870276, t = (nil)
NOT FOUND 2730747493436524962, t = (nil)
NOT FOUND 9126263961231782243, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 747386237018275387, t = (nil)
NOT FOUND 552612595429683574, t = (nil)
NOT FOUND 6130116810299679404, t = (nil)
NOT FOUND 4018420185637482802, t = (nil)
NOT FOUND 1849733725128365393, t = (nil)
NOT FOUND 3579572367884852139, t = (nil)
NOT FOUND 2552095678075500601, t = (nil)
NOT FOUND 6753668514412947095, t = (nil)
NOT FOUND 4566156399740449980, t = (nil)
NOT FOUND 6963892538809166205, t = (nil)
NOT FOUND 5281292773695570616, t = (nil)
NOT FOUND 1859749079175209019, t = (nil)
NOT FOUND 621667040341556941, t = (nil)
NOT FOUND 4519488217275856391, t = (nil)
NOT FOUND 1021588354812729083, t = (nil)
NOT FOUND 6827929397151672756, t = (nil)
NOT FOUND 3767659181658101824, t = (nil)
NOT FOUND 5318529879289721023, t = (nil)
NOT FOUND 8998166828709175707, t = (nil)
NOT FOUND 1098858301406563143, t = (nil)
NOT FOUND 3151787121007302141, t = (nil)
NOT FOUND 4050783974795822456, t = (nil)
NOT FOUND 8048038102434983331, t = (nil)
NOT FOUND 3798462476236491924, t = (nil)
NOT FOUND 5694780416540315517, t = (nil)
NOT FOUND 6745987935698383924, t = (nil)
NOT FOUND 144839622734080081, t = (nil)
NOT FOUND 4297453426915118819, t = (nil)
NOT FOUND 6507769270964838536, t = (nil)
NOT FOUND 5520590328972837052, t = (nil)
NOT FOUND 5500440969809686233, t = (nil)
NOT FOUND 6694276993160878494, t = (nil)
NOT FOUND 5488130381286514903, t = (nil)
NOT FOUND 4060653208980192932, t = (nil)
NOT FOUND 3425924262967995445, t = (nil)
NOT FOUND 6730642863803585589, t = (nil)
NOT FOUND 6456334516105722111, t = (nil)
NOT FOUND 5766399248365534293, t = (nil)
NOT FOUND 5760539014629036409, t = (nil)
NOT FOUND 1740328544879626313, t = (nil)
NOT FOUND 2317986542101411922, t = (nil)
NOT FOUND 4915643796520472095, t = (nil)
NOT FOUND 3325892978056302431, t = (nil)
NOT FOUND 5139171219866292644, t = (nil)
NOT FOUND 8911882460664117243, t = (nil)
NOT FOUND 2521165692830723575, t = (nil)
NOT FOUND 1255533947430491722, t = (nil)
NOT FOUND 1504657600138634543, t = (nil)
NOT FOUND 1510506565148329529, t = (nil)
NOT FOUND 4581385769687620834, t = (nil)
NOT FOUND 2082258501019262636, t = (nil)
NOT FOUND 5850826477224168964, t = (nil)
NOT FOUND 3421583944565253234, t = (nil)
NOT FOUND 4600321426993370525, t = (nil)
NOT FOUND 8625193613200495973, t = (nil)
NOT FOUND 7808089560280831531, t = (nil)
NOT FOUND 4696554413263187294, t = (nil)
NOT FOUND 5304647600267969573, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 4616000669285392078, t = (nil)
NOT FOUND 6574128820856973449, t = (nil)
NOT FOUND 7394904487824670106, t = (nil)
NOT FOUND 1594518197457172544, t = (nil)
NOT FOUND 6674259363970303801, t = (nil)
NOT FOUND 7762425147134202976, t = (nil)
NOT FOUND 222755803135148829, t = (nil)
NOT FOUND 1243349184137642862, t = (nil)
NOT FOUND 8016371797114376924, t = (nil)
NOT FOUND 2753114121126958205, t = (nil)
NOT FOUND 5320107267839753279, t = (nil)
NOT FOUND 3001683888071438644, t = (nil)
NOT FOUND 526048162343044222, t = (nil)
NOT FOUND 8894307296710119574, t = (nil)
NOT FOUND 9120725314379827933, t = (nil)
NOT FOUND 4635122838038331621, t = (nil)
NOT FOUND 7984109583171943642, t = (nil)
NOT FOUND 5922882789133596987, t = (nil)
NOT FOUND 8170992252741900066, t = (nil)
NOT FOUND 6706442858506307666, t = (nil)
NOT FOUND 1594515800387572967, t = (nil)
NOT FOUND 2597342930346433204, t = (nil)
NOT FOUND 2084690836871646570, t = (nil)
NOT FOUND 6742296348235652594, t = (nil)
NOT FOUND 2148113965331245982, t = (nil)
NOT FOUND 6477500313540794512, t = (nil)
NOT FOUND 341971721258464396, t = (nil)
NOT FOUND 413569288143127306, t = (nil)
NOT FOUND 5395166552881384929, t = (nil)
NOT FOUND 5473307567999065040, t = (nil)
NOT FOUND 370648469146439007, t = (nil)
NOT FOUND 4758030499214661417, t = (nil)
NOT FOUND 8513779403302661342, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 541860350966797275, t = (nil)
NOT FOUND 7062783868825841010, t = (nil)
NOT FOUND 3990509512319093764, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 677911653153856485, t = (nil)
NOT FOUND 6475691517390791858, t = (nil)
NOT FOUND 3622401852913948190, t = (nil)
NOT FOUND 6476293928194117673, t = (nil)
NOT FOUND 5249838854495968498, t = (nil)
NOT FOUND 7836302658710350293, t = (nil)
NOT FOUND 8026037487848201376, t = (nil)
NOT FOUND 2913472831432233316, t = (nil)
NOT FOUND 497283055524046966, t = (nil)
NOT FOUND 5972110565761803900, t = (nil)
NOT FOUND 7799995772735968507, t = (nil)
NOT FOUND 5571295741108902256, t = (nil)
NOT FOUND 1033917613769029874, t = (nil)
NOT FOUND 548094530640858200, t = (nil)
NOT FOUND 4730482362122647401, t = (nil)
NOT FOUND 2910983851824271282, t = (nil)
NOT FOUND 5818620203059207061, t = (nil)
NOT FOUND 1593370198205668026, t = (nil)
NOT FOUND 6794354347486042519, t = (nil)
NOT FOUND 3958839058745801395, t = (nil)
NOT FOUND 656135102857422118, t = (nil)
NOT FOUND 7311256823433237102, t = (nil)
NOT FOUND 6503658415080213494, t = (nil)
NOT FOUND 623398850951854706, t = (nil)
NOT FOUND 8684493509605479266, t = (nil)
NOT FOUND 741163326584155031, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 4817249163781241268, t = (nil)
NOT FOUND 3120004576596931063, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 6693428373109896489, t = (nil)
NOT FOUND 3661002702491627243, t = (nil)
NOT FOUND 8009530557389305656, t = (nil)
NOT FOUND 6024430463626946080, t = (nil)
NOT FOUND 7559934764308133038, t = (nil)
NOT FOUND 5588542450065222259, t = (nil)
NOT FOUND 1549330987080106384, t = (nil)
NOT FOUND 5757844002985613971, t = (nil)
NOT FOUND 678600110284904672, t = (nil)
NOT FOUND 29414736673231579, t = (nil)
NOT FOUND 5133365653840842099, t = (nil)
NOT FOUND 1278357725221794980, t = (nil)
NOT FOUND 5689526128202735206, t = (nil)
NOT FOUND 5901035894984524936, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 3517999915688520234, t = (nil)
NOT FOUND 485273644830273628, t = (nil)
NOT FOUND 8251288594368043334, t = (nil)
NOT FOUND 8931042951802313293, t = (nil)
NOT FOUND 5267794860196275234, t = (nil)
NOT FOUND 8908356723166844241, t = (nil)
NOT FOUND 786485834321546898, t = (nil)
NOT FOUND 2092915203637587819, t = (nil)
NOT FOUND 7521604078431270931, t = (nil)
NOT FOUND 9181613714703784122, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 2135313865904672760, t = (nil)
NOT FOUND 2283758941739607635, t = (nil)
NOT FOUND 6397684775182184538, t = (nil)
NOT FOUND 9124425736894650526, t = (nil)
NOT FOUND 3668623778732211609, t = (nil)
NOT FOUND 4017279275007820764, t = (nil)
NOT FOUND 7067978165068441097, t = (nil)
NOT FOUND 3832997377883270899, t = (nil)
NOT FOUND 6954204061401639573, t = (nil)
NOT FOUND 3062904554207095302, t = (nil)
NOT FOUND 8309788033265771882, t = (nil)
NOT FOUND 8043967414625248926, t = (nil)
NOT FOUND 2436266386161886555, t = (nil)
NOT FOUND 6128759736690214293, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 1541514293307209821, t = (nil)
NOT FOUND 1387099394917145900, t = (nil)
NOT FOUND 1205678877205816752, t = (nil)
NOT FOUND 451113249809919483, t = (nil)
NOT FOUND 8822244507648096740, t = (nil)
NOT FOUND 7518851334248672650, t = (nil)
NOT FOUND 2303557807002158975, t = (nil)
NOT FOUND 3574121938225931568, t = (nil)
NOT FOUND 6730642863803585589, t = (nil)
NOT FOUND 916382582167433795, t = (nil)
NOT FOUND 1316048866463441001, t = (nil)
NOT FOUND 1185521651149386941, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 5343555534649720915, t = (nil)
NOT FOUND 3008938206946233325, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 4398768501470950790, t = (nil)
NOT FOUND 3902837410910305378, t = (nil)
NOT FOUND 6850681426186449456, t = (nil)
NOT FOUND 8842937894391067769, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 3504677082910671453, t = (nil)
NOT FOUND 3138955566871976073, t = (nil)
NOT FOUND 132721081121167050, t = (nil)
NOT FOUND 4853251532951842505, t = (nil)
NOT FOUND 9138119301795291724, t = (nil)
NOT FOUND 6912155102172229321, t = (nil)
NOT FOUND 6145232197796649146, t = (nil)
NOT FOUND 8058633193020440856, t = (nil)
NOT FOUND 3599495287427642638, t = (nil)
